p,q,AIC,BIC,LogLik,converged
0,0,-13551.491615537161,-13540.472945005127,6777.745807768581,True
1,0,-13549.787469564668,-13533.259463766619,6777.893734782334,True
0,1,-13549.778900706406,-13533.250894908357,6777.889450353203,True
2,0,-13548.177449299805,-13526.140108235739,6778.088724649902,True
0,2,-13548.173009347767,-13526.135668283701,6778.086504673884,True
1,1,-13548.01501247778,-13525.977671413713,6778.00750623889,False
3,0,-13546.177130894257,-13518.630454564174,6778.0885654471285,True
2,1,-13546.177095432859,-13518.630419102776,6778.088547716429,False
1,2,-13546.166764925852,-13518.62008859577,6778.083382462926,True
0,3,-13546.145723255755,-13518.599046925672,6778.0728616278775,True
3,1,-13544.17709877273,-13511.12108717663,6778.088549386365,False
2,2,-13544.16046098105,-13511.10444938495,6778.080230490525,True
1,3,-13544.144053513972,-13511.088041917872,6778.072026756986,True
2,3,-13542.16085088862,-13503.595504026503,6778.08042544431,True
3,2,-13541.491641766224,-13502.926294904108,6777.745820883112,True
3,3,-13540.147901607825,-13496.073219479691,6778.073950803912,True
