parameter,coef,std_err,z_stat,p_value
mu,8.883599275655217e-06,0.00021088195443911937,0.04212593391066977,0.9663983062461552
phi,-0.0492933601977893,0.5043510696070118,-0.09773620632191476,0.9221417646896477
theta,0.09366756811973001,0.5025841389111221,0.18637191440753836,0.8521531156088282
omega,-0.13246075112408479,0.06556583309143316,-2.0202709990638725,0.0433552852667245
alpha,0.13485951065468504,0.03010227973578667,4.480043101000062,7.462796781432246e-06
gamma,0.08075599663228628,0.02130796603259968,3.7899439349929183,0.00015068129058892765
beta,0.9859083784223416,0.006761286171680158,145.81669129045997,0.0
nu,5.00462800732093,0.7609244688415845,6.577036502637208,4.799161068547164e-11
skew,1.0463374177560847,0.04626630987848315,22.615536456316775,0.0
